[Leitura iniciada em 13/06/2024 às 16:30, Ilhéus-BA]

Hora,Temperatura,Umidade,Media de Temperatura
300,27.70,99.90,
600,27.60,99.90,
900,27.60,99.90,
1200,27.50,99.90,
1500,27.60,99.90,
1800,27.50,99.90,
2100,27.50,99.90,
2400,27.50,99.90,
2700,27.50,99.90,
3000,27.50,99.90,
3300,27.30,99.90,
3600,27.20,99.90,
Media de Temperatura da Ultima Hora: 27.50
Hora: 3600, Media de Temperatura da Ultima Hora: 27.50
3900,27.10,99.90,
4200,27.10,99.90,
4500,27.00,99.90,
4800,27.00,99.90,
5100,27.00,99.90,
5400,27.20,99.90,
5700,27.20,99.90,
6000,27.20,99.90,
6300,27.30,99.90,
6600,27.20,99.90,
6900,27.00,99.90,
